date,open,high,low,close,volume,return_1d,return_5d,daily_return,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,option_price,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega,hedge_shares_0,hedge_shares_25,hedge_shares_50,hedge_shares_75,hedge_shares_100,spot_next,sigma_next,dte_next,T_next,option_price_next,option_pnl,option_pnl_contract,spot_change,hedge_pnl_0,hedge_cost_0,total_pnl_0,score_0,hedge_pnl_25,hedge_cost_25,total_pnl_25,score_25,hedge_pnl_50,hedge_cost_50,total_pnl_50,score_50,hedge_pnl_75,hedge_cost_75,total_pnl_75,score_75,hedge_pnl_100,hedge_cost_100,total_pnl_100,score_100,best_hedge_idx,target_hedge_ratio_bucket,target_class
2005-02-25,92.7949,93.8716,92.7097,93.6948,79289004,,,,,93.6948,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.0544,,29,0.07945205479452055,,,,-0.6403999999999996,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,93.4735,93.5952,92.6083,93.0544,89985785,-0.0068349577564603,,-0.0068349577564603,,93.0544,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.5386,,29,0.07945205479452055,,,,0.4842000000000013,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,93.1845,93.7683,93.1845,93.5386,61658442,0.0052034078990355,,0.0052034078990355,,93.5386,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.4927,,29,0.07945205479452055,,,,-0.04590000000000316,,,,,,,,,,,,,,,,,,,,,,,
2005-03-02,93.1749,94.0766,93.0735,93.4927,83253671,-0.0004907065104673,,-0.0004907065104673,,93.4927,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.5301,,29,0.07945205479452055,,,,0.03740000000000521,,,,,,,,,,,,,,,,,,,,,,,
2005-03-03,93.8716,94.0575,93.1203,93.5301,80491538,0.000400031232385,,0.000400031232385,,93.5301,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,94.7073,,29,0.07945205479452055,,,,1.1771999999999991,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04,94.1512,94.7819,93.9675,94.7073,72809892,0.0125863224780045,0.0108063627864085,0.0125863224780045,,94.7073,95.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,94.7456,,29,0.07945205479452055,,,,0.03829999999999245,,,,,,,,,,,,,,,,,,,,,,,
2005-03-07,94.6499,95.0882,94.4327,94.7456,56781312,0.0004044038843888,0.0181743152392579,0.0004044038843888,,94.7456,95.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,94.3665,,29,0.07945205479452055,,,,-0.379099999999994,,,,,,,,,,,,,,,,,,,,,,,
2005-03-08,94.6594,94.8872,94.1991,94.3665,57895709,-0.0040012412185894,0.0088508915036145,-0.0040012412185894,,94.3665,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.3232,,29,0.07945205479452055,,,,-1.0433000000000021,,,,,,,,,,,,,,,,,,,,,,,
2005-03-09,94.1043,94.3378,93.3148,93.3232,95400795,-0.0110558301939777,-0.0018129757724399,-0.0110558301939777,,93.3232,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.5386,,29,0.07945205479452055,,,,0.21540000000000248,,,,,,,,,,,,,,,,,,,,,,,
2005-03-10,93.3329,93.7494,92.8868,93.5386,84641541,0.0023081077374114,9.087983440614344e-05,0.0023081077374114,,93.5386,94.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,92.8868,,29,0.07945205479452055,,,,-0.6518000000000086,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11,93.778,93.9102,92.6907,92.8868,75346247,-0.0069682462641091,-0.0192223830686758,-0.0069682462641091,,92.8868,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,93.464,,29,0.07945205479452055,,,,0.5772000000000048,,,,,,,,,,,,,,,,,,,,,,,
2005-03-14,92.8868,93.4833,92.8037,93.464,47099391,0.006214015339101,-0.0135267495271548,0.006214015339101,,93.464,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,92.6812,,29,0.07945205479452055,,,,-0.7827999999999946,,,,,,,,,,,,,,,,,,,,,,,
2005-03-15,93.6811,93.7226,92.6438,92.6812,80992092,-0.0083754172729606,-0.0178590919447049,-0.0083754172729606,,92.6812,93.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,91.9098,,29,0.07945205479452055,,,,-0.7713999999999999,,,,,,,,,,,,,,,,,,,,,,,
2005-03-16,92.3499,92.5002,91.7421,91.9098,99446724,-0.0083231550735208,-0.0151452157662831,-0.0083231550735208,,91.9098,92.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,92.101,,29,0.07945205479452055,,,,0.19119999999999493,,,,,,,,,,,,,,,,,,,,,,,
2005-03-17,92.0648,92.3777,91.7987,92.101,81318454,0.0020803004685028,-0.0153690561971208,0.0020803004685028,,92.101,92.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,91.4504,,29,0.07945205479452055,,,,-0.6505999999999972,,,,,,,,,,,,,,,,,,,,,,,
2005-03-18,91.8905,92.2321,91.1564,91.4504,80209634,-0.0070639841044071,-0.015463984118303,-0.0070639841044071,,91.4504,91.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,91.1221,,29,0.07945205479452055,,,,-0.3282999999999987,,,,,,,,,,,,,,,,,,,,,,,
2005-03-21,91.5871,91.6435,90.8453,91.1221,79620680,-0.0035899241556078,-0.0250567063254301,-0.0035899241556078,,91.1221,91.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,90.2002,,29,0.07945205479452055,,,,-0.9219000000000079,,,,,,,,,,,,,,,,,,,,,,,
2005-03-22,91.3241,91.7519,90.2002,90.2002,120971319,-0.0101171944017972,-0.0267691829626721,-0.0101171944017972,,90.2002,90.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,90.274,,29,0.07945205479452055,,,,0.07380000000000564,,,,,,,,,,,,,,,,,,,,,,,
2005-03-23,90.2195,90.8283,90.0836,90.274,93252232,0.0008181800040354,-0.017797884447578,0.0008181800040354,,90.274,90.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,90.3851,,29,0.07945205479452055,,,,0.11109999999999332,,,,,,,,,,,,,,,,,,,,,,,
2005-03-24,90.6289,91.0283,90.32,90.3851,67424176,0.0012306976538094,-0.0186306337607626,0.0012306976538094,,90.3851,90.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,,90.5114,0.0975948809630088,29,0.07945205479452055,1.3942004818027272,,,0.12630000000000052,,,,,,,,,,,,,,,,,,,,,,,
2005-03-28,90.5909,90.991,90.5114,90.5114,60842798,0.0013973542099305,-0.0102678610481747,0.0013973542099305,0.0975948809630088,90.5114,91.0,30,0.0821917808219178,0.0975948809630088,0.03,call,0.8850031721972371,0.46402499768465044,0.15688989392731334,-7.354482086460305,10.30995959494582,46.40249976846504,15.688989392731333,-735.4482086460305,1030.995959494582,-0.0,-11.60062494211626,-23.20124988423252,-34.80187482634878,-46.40249976846504,89.9035,0.0975130817278613,29,0.07945205479452055,0.612233482699736,-0.27276968949750113,-27.276968949750113,-0.6079000000000008,0.0,0.0,-27.276968949750113,-27.276968949750113,7.052019902312484,0.11600624942116261,-20.34095529685879,-20.68897404512228,14.104039804624968,0.23201249884232522,-13.40494164396747,-14.100979140494445,21.15605970693745,0.3480187482634878,-6.46892799107615,-7.512984235866613,28.208079609249936,0.46402499768465044,0.46708566181517175,-1.8591606548691229,4.0,1.0,4.0
2005-03-29,90.3851,90.9535,89.6961,89.9035,94676790,-0.0067162810430508,-0.0133732651025383,-0.0067162810430508,0.0975130817278613,89.9035,90.0,30,0.0821917808219178,0.0975130817278613,0.03,call,1.0657683629260077,0.5254370753553095,0.15840627389238354,-7.472438810186559,10.261641763964223,52.54370753553095,15.840627389238355,-747.2438810186559,1026.1641763964224,-0.0,-13.135926883882737,-26.271853767765474,-39.40778065164821,-52.54370753553095,91.1841,0.1104306801934183,29,0.07945205479452055,1.9584752192702624,0.8927068563442546,89.27068563442546,1.2806000000000068,-0.0,0.0,89.27068563442546,-89.27068563442546,-16.821867967500324,0.13135926883882737,72.31745839808632,-72.7115362046028,-33.64373593500065,0.26271853767765474,55.364231161747156,-56.15238677478012,-50.465603902500966,0.3940778065164821,38.41100392540801,-39.59323734495746,-67.2874718700013,0.5254370753553095,21.457776689068854,-23.034087915134783,4.0,1.0,4.0
