date,close,spot_next,return_1d,return_5d,realized_vol_20d,sigma_next,strike,T,dte_next,T_next,call_price,call_price_next,delta,gamma,theta,vega,option_pnl,option_pnl_contract,target_hedge_ratio_bucket
2005-03-28,51.9004,51.1523,0.0004954245518529,-0.0132628617057682,0.0956185448154784,0.1045097848788126,52.0,0.0821917808219178,29,0.07945205479452055,0.5817638902834936,0.3110312627663383,0.5134483614008089,0.280243909673381,-4.2328882359146816,5.932641610189769,-0.2707326275171553,-27.073262751715532,1.0
2005-03-29,51.1523,51.9094,-0.0144141470971321,-0.0286953962421792,0.1045097848788126,0.1159865662706968,51.0,0.0821917808219178,29,0.07945205479452055,0.758744817171678,1.3080185818691916,0.5780068379465192,0.2553076536691394,-4.512424320736639,5.738250595672173,0.5492737646975137,54.927376469751366,0.0
2005-03-30,51.9094,51.9004,0.014800898493323,-0.0074570645169925,0.1159865662706968,0.1161674492785596,52.0,0.0821917808219178,29,0.07945205479452055,0.7072299793132402,0.689960624242552,0.5152903892471045,0.2309526916134041,-4.967247207416864,5.9326827898174,-0.017269355070688164,-1.7269355070688164,0.0
2005-03-31,51.9004,51.6782,-0.0001733790026469,-0.0003274432078648,0.1161674492785596,0.1159915540397413,52.0,0.0821917808219178,29,0.07945205479452055,0.7036748559021078,0.5809303698227808,0.5132115333108097,0.2306760363962576,-4.970560206879836,5.93275937548423,-0.12274448607932698,-12.274448607932698,1.0
2005-04-01,51.6782,51.8747,-0.0042812772155899,-0.0037879737135829,0.1159915540397413,0.1053777534141859,52.0,0.0821917808219178,29,0.07945205479452055,0.5943073037112896,0.6139409954416735,0.4618000440320879,0.2310814415958436,-4.84959693684085,5.8834840754313324,0.019633691730383873,1.9633691730383873,0.0
2005-04-04,51.8747,51.97,0.0038023770177753,-0.0004951792279057,0.1053777534141859,0.1065506215248297,52.0,0.0821917808219178,29,0.07945205479452055,0.6265553148320144,0.6701276013149098,0.5067287953971357,0.2545244788029378,-4.572640502249216,5.932231338050255,0.04357228648289535,4.357228648289535,0.0
2005-04-05,51.97,52.1188,0.0018371190580379,0.0159855959556072,0.1065506215248297,0.104637817727009,52.0,0.0821917808219178,29,0.07945205479452055,0.6829515885203072,0.7407488495382601,0.5307285825681969,0.2505510952428968,-4.648318961726256,5.9263339007411355,0.057797261017952906,5.779726101795291,0.0
2005-04-06,52.1188,52.3331,0.0028631903020974,0.004033951461585,0.104637817727009,0.0999137547733115,52.0,0.0821917808219178,29,0.07945205479452055,0.7534516294186702,0.8419923109674414,0.5687783676728349,0.2513586739213652,-4.604638188356982,5.872185361520101,0.08854068154877126,8.854068154877126,0.0
2005-04-07,52.3331,51.5363,0.0041117600558724,0.0083371226426001,0.0999137547733115,0.1116143318696596,52.0,0.0821917808219178,29,0.07945205479452055,0.8541568570632734,0.4931073856661925,0.6267740911672425,0.252577268036369,-4.411177018312293,5.680686918532695,-0.3610494713970809,-36.10494713970809,1.0
2005-04-08,51.5363,51.2784,-0.0152255455916046,-0.0027458386708515,0.1116143318696596,0.112232888983334,52.0,0.0821917808219178,29,0.07945205479452055,0.5057250641564472,0.39521323064514036,0.4258816908285515,0.2377277545660431,-4.57620992325608,5.792348900604058,-0.11051183351130689,-11.051183351130689,1.0
2005-04-11,51.2784,51.7566,-0.0050042397300543,-0.0114950062361806,0.112232888983334,0.1143498229222399,51.0,0.0821917808219178,29,0.07945205479452055,0.8773182274601758,1.189693380418106,0.6033060710570441,0.2336389296278918,-4.771006501547252,5.6671234336219625,0.31237515295793017,31.237515295793017,0.0
2005-04-12,51.7566,50.8367,0.0093255639801554,-0.00410621512411,0.1143498229222399,0.1268665820333469,52.0,0.0821917808219178,29,0.07945205479452055,0.6215174060706055,0.3271868217155536,0.4794597650340468,0.2348110302690683,-4.838169207344705,5.911720032132566,-0.2943305843550519,-29.43305843550519,1.0
2005-04-13,50.8367,49.8068,-0.0177735786353817,-0.0245995686777131,0.1268665820333469,0.1417936568610587,51.0,0.0821917808219178,29,0.07945205479452055,0.7191828251727799,0.3780025589829705,0.4991236046393749,0.2157596515783676,-5.226982980481101,5.814341875749292,-0.34118026618980934,-34.118026618980934,1.0
2005-04-14,49.8068,49.1281,-0.0202589861261647,-0.0482734636396467,0.1417936568610587,0.1462169769022006,50.0,0.0821917808219178,29,0.07945205479452055,0.7737000103111598,0.4922574425900308,0.4943132663312087,0.1970181796697528,-5.628624964412896,5.695984193404038,-0.28144256772112897,-28.144256772112897,1.0
2005-04-15,49.1281,49.4426,-0.0136266533886938,-0.0467282284525663,0.1462169769022006,0.1502920654227125,49.0,0.0821917808219178,29,0.07945205479452055,0.9498314578311238,1.1402129037269084,0.556485629784803,0.1917721518529004,-5.739465511606722,5.562521068336926,0.19038144589578465,19.038144589578465,0.0
2005-04-18,49.4426,50.2652,0.0064016316527606,-0.0358006490062092,0.1502920654227125,0.1653024721065027,49.0,0.0821917808219178,29,0.07945205479452055,1.156314098567293,1.7724656885170162,0.6131218480605717,0.1796860291753545,-5.835624161985667,5.426019569834841,0.6161515899497232,61.61515899497232,0.0
2005-04-19,50.2652,49.4784,0.016637474566467,-0.0288156486322517,0.1653024721065027,0.1713543574513276,50.0,0.0821917808219178,29,0.07945205479452055,1.1533761063499774,0.7693361090236444,0.5743070700215754,0.1645611056353625,-6.511982968231784,5.6489764625939,-0.3840399973263331,-38.40399973263331,1.0
2005-04-20,49.4784,50.6859,-0.0156529766120496,-0.026718886159015,0.1713543574513276,0.1953696756466452,49.0,0.0821917808219178,29,0.07945205479452055,1.2927358532204565,2.223053445531569,0.6073934494616929,0.1581454716183483,-6.546728951518823,5.452699927377645,0.9303175923111127,93.03175923111127,0.0
2005-04-21,50.6859,49.8683,0.0244045886689949,0.017650200374246,0.1953696756466452,0.2024798654093399,51.0,0.0821917808219178,29,0.07945205479452055,1.0427762751492793,0.7117262211880018,0.4847363409440023,0.1404214735653837,-7.590608920426025,5.792864855177402,-0.3310500539612775,-33.10500539612775,1.0
2005-04-22,49.8683,50.3288,-0.0161307187995083,0.0150667337023004,0.2024798654093399,0.2061892741062828,50.0,0.0821917808219178,29,0.07945205479452055,1.15052350783591,1.399199214067071,0.5103978021554306,0.1377659596511194,-7.752097915506231,5.701659559149611,0.2486757062311611,24.86757062311611,0.0
2005-04-25,50.3288,49.6162,0.0092343232073281,0.0179238146861209,0.2061892741062828,0.2059783944266003,50.0,0.0821917808219178,29,0.07945205479452055,1.421070664345503,1.0245904479904446,0.5722675750414017,0.1318889962106912,-7.922812159064099,5.661560778583521,-0.3964802163550585,-39.64802163550585,1.0
2005-04-26,49.6162,49.5994,-0.0141588911319165,-0.0129115173121762,0.2059783944266003,0.1969554704510437,50.0,0.0821917808219178,29,0.07945205479452055,1.046055332256362,0.9664320178666266,0.4763937692732913,0.1359219227895971,-7.775950242634858,5.664825905099893,-0.07962331438973536,-7.962331438973536,1.0
2005-04-27,49.5994,48.3333,-0.0003385990865886,0.0024455115767689,0.1969554704510437,0.213371327101466,50.0,0.0821917808219178,29,0.07945205479452055,0.98700277672571,0.5623623401012594,0.4718729263424455,0.1420921891829927,-7.452519866402927,5.658736733247237,-0.4246404366244506,-42.464043662445064,1.0
2005-04-28,48.3333,48.9604,-0.0255265184659492,-0.0464152752540646,0.213371327101466,0.2211489428224116,48.0,0.0821917808219178,29,0.07945205479452055,1.4133716032158432,1.816836126326308,0.5729990908668906,0.1326662465034782,-7.84342163444349,5.435228247101178,0.40346452311046477,40.34645231104648,0.0
2005-04-29,48.9604,49.4596,0.0129744917065459,-0.0182059544841111,0.2211489428224116,0.2247412806988245,49.0,0.0821917808219178,29,0.07945205479452055,1.278106942907559,1.551792126029671,0.523061932919199,0.1283038206346091,-8.250826545712075,5.590398431326885,0.2736851831221119,27.368518312211187,0.0
2005-05-02,49.4596,49.7096,0.0101959951307588,-0.0172704296545913,0.2247412806988245,0.2258117488838416,49.0,0.0821917808219178,29,0.07945205479452055,1.5749194183466884,1.707818041171702,0.5852651311388841,0.1223176465040467,-8.377754642675935,5.527153899767568,0.13289862282501375,13.289862282501375,0.0
