date,spot_today,spot_next,return_1d,return_5d,realized_vol_20d,sigma_next,strike,T,dte_today,dte_next,T_next,call_price,call_price_next,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega,option_pnl,option_pnl_contract,cost_per_share,hedge_shares_0,hedge_shares_25,hedge_shares_50,hedge_shares_75,hedge_shares_100,total_pnl_0,total_pnl_25,total_pnl_50,total_pnl_75,total_pnl_100,score_0,score_25,score_50,score_75,score_100,best_hedge_idx,target_hedge_ratio_bucket,target_class
2005-03-28,51.9004,51.1523,0.0004954245518529,-0.0132628617057682,0.0956185448154784,0.1045097848788126,52.0,0.0821917808219178,30,29,0.0794520547945205,0.5817638902834936,0.3110312627663383,0.5134483614008089,0.280243909673381,-4.2328882359146816,5.932641610189769,51.344836140080886,28.024390967338096,-423.28882359146814,593.2641610189769,-0.2707326275171553,-27.073262751715532,0.01,-0.0,-12.836209035020222,-25.672418070040443,-38.50862710506067,-51.344836140080886,-27.073262751715532,-17.598856862967097,-8.124450974218659,1.3499549145297824,10.824360803278214,-27.073262751715532,-18.240667314718106,-9.408071877720682,-3.2753862697828158,-13.39160261028226,3,0.75,3
2005-03-29,51.1523,51.9094,-0.0144141470971321,-0.0286953962421792,0.1045097848788126,0.1159865662706968,51.0,0.0821917808219178,30,29,0.0794520547945205,0.758744817171678,1.3080185818691916,0.5780068379465192,0.2553076536691394,-4.512424320736639,5.738250595672173,57.80068379465192,25.530765366913936,-451.2424320736639,573.8250595672173,0.5492737646975137,54.927376469751366,0.01,-0.0,-14.45017094866298,-28.90034189732596,-43.35051284598894,-57.80068379465192,54.927376469751366,43.842650335031976,32.75792420031259,21.6731980655932,10.588471930873807,-54.927376469751366,-44.56515888246513,-34.20294129517889,-23.84072370789265,-13.478506120606403,4,1.0,4
2005-03-30,51.9094,51.9004,0.014800898493323,-0.0074570645169925,0.1159865662706968,0.1161674492785596,52.0,0.0821917808219178,30,29,0.0794520547945205,0.7072299793132402,0.689960624242552,0.5152903892471045,0.2309526916134041,-4.967247207416864,5.9326827898174,51.52903892471045,23.095269161340408,-496.7247207416864,593.26827898174,-0.0172693550706881,-1.7269355070688164,0.01,-0.0,-12.882259731177612,-25.764519462355224,-38.646779193532836,-51.52903892471045,-1.7269355070688164,-1.7398177667999895,-1.7527000265311627,-1.765582286262336,-1.7784645459935091,-1.7269355070688164,-2.38393075335887,-3.040925999648924,-3.6979212459389776,-4.354916492229032,0,0.0,0
2005-03-31,51.9004,51.6782,-0.0001733790026469,-0.0003274432078648,0.1161674492785596,0.1159915540397413,52.0,0.0821917808219178,30,29,0.0794520547945205,0.7036748559021078,0.5809303698227808,0.5132115333108097,0.2306760363962576,-4.970560206879836,5.93275937548423,51.32115333108097,23.067603639625762,-497.05602068798356,593.275937548423,-0.1227444860793269,-12.274448607932698,0.01,-0.0,-12.830288332770243,-25.660576665540486,-38.49086499831073,-51.32115333108097,-12.274448607932698,-9.55186142371884,-6.829274239504985,-4.10668705529113,-1.3840998710772725,-12.274448607932698,-10.193375840357353,-8.112303072782009,-6.031230305206666,-3.950157537631321,4,1.0,4
2005-04-01,51.6782,51.8747,-0.0042812772155899,-0.0037879737135829,0.1159915540397413,0.1053777534141859,52.0,0.0821917808219178,30,29,0.0794520547945205,0.5943073037112896,0.6139409954416735,0.4618000440320879,0.2310814415958436,-4.84959693684085,5.8834840754313324,46.18000440320879,23.10814415958436,-484.95969368408504,588.3484075431332,0.0196336917303838,1.963369173038387,0.01,-0.0,-11.545001100802198,-23.090002201604396,-34.635003302406595,-46.18000440320879,1.963369173038387,-0.4206735542772707,-2.804716281592928,-5.188759008908587,-7.5728017362242435,-1.963369173038387,-0.9979236093173807,-3.9592163916731478,-6.920509174028917,-9.881801956384683,1,0.25,1
2005-04-04,51.8747,51.97,0.0038023770177753,-0.0004951792279057,0.1053777534141859,0.1065506215248297,52.0,0.0821917808219178,30,29,0.0794520547945205,0.6265553148320144,0.6701276013149098,0.5067287953971357,0.2545244788029378,-4.572640502249216,5.932231338050255,50.67287953971357,25.452447880293782,-457.2640502249216,593.2231338050256,0.0435722864828953,4.357228648289535,0.01,-0.0,-12.668219884928392,-25.336439769856785,-38.00465965478518,-50.67287953971357,4.357228648289535,3.0232650944065536,1.689301540523572,0.35533798664059046,-0.978625567242391,-4.357228648289535,-3.656676088652973,-2.9561235290164114,-2.2555709693798494,-3.5122695442280696,3,0.75,3
2005-04-05,51.97,52.1188,0.0018371190580379,0.0159855959556072,0.1065506215248297,0.104637817727009,52.0,0.0821917808219178,30,29,0.0794520547945205,0.6829515885203072,0.7407488495382601,0.5307285825681969,0.2505510952428968,-4.648318961726256,5.9263339007411355,53.072858256819686,25.05510952428968,-464.8318961726256,592.6333900741135,0.0577972610179529,5.779726101795291,0.01,-0.0,-13.268214564204921,-26.536429128409843,-39.80464369261476,-53.072858256819686,5.779726101795291,3.672733628999531,1.5657411562037709,-0.5412513165919881,-2.648243789387749,-5.779726101795291,-4.336144357209777,-2.892562612624263,-2.531483501222726,-5.3018867022287335,3,0.75,3
2005-04-06,52.1188,52.3331,0.0028631903020974,0.004033951461585,0.104637817727009,0.0999137547733115,52.0,0.0821917808219178,30,29,0.0794520547945205,0.7534516294186702,0.8419923109674414,0.5687783676728349,0.2513586739213652,-4.604638188356982,5.872185361520101,56.87783676728348,25.135867392136518,-460.4638188356982,587.2185361520101,0.0885406815487712,8.854068154877126,0.01,-0.0,-14.21945919182087,-28.43891838364174,-42.65837757546261,-56.87783676728348,8.854068154877126,5.664643458151684,2.475218761426241,-0.7142059352991998,-3.9036306320246443,-8.854068154877126,-6.3756164177427275,-3.897164680608328,-2.8471248140723304,-6.747522470388819,3,0.75,3
2005-04-07,52.3331,51.5363,0.0041117600558724,0.0083371226426001,0.0999137547733115,0.1116143318696596,52.0,0.0821917808219178,30,29,0.0794520547945205,0.8541568570632734,0.4931073856661925,0.6267740911672425,0.252577268036369,-4.411177018312293,5.680686918532695,62.67740911672425,25.2577268036369,-441.11770183122934,568.0686918532695,-0.3610494713970809,-36.10494713970809,0.01,-0.0,-15.669352279181062,-31.338704558362124,-47.00805683754319,-62.67740911672425,-36.10494713970809,-23.776300766448358,-11.447654393188625,0.8809919800711064,13.209638353330838,-36.10494713970809,-24.559768380407412,-13.014589621106731,-3.2313948219482658,-16.34350880916705,3,0.75,3
2005-04-08,51.5363,51.2784,-0.0152255455916046,-0.0027458386708515,0.1116143318696596,0.112232888983334,52.0,0.0821917808219178,30,29,0.0794520547945205,0.5057250641564472,0.3952132306451403,0.4258816908285515,0.2377277545660431,-4.57620992325608,5.792348900604058,42.588169082855146,23.772775456604307,-457.620992325608,579.2348900604057,-0.1105118335113068,-11.051183351130687,0.01,-0.0,-10.647042270713786,-21.294084541427573,-31.94112681214136,-42.588169082855146,-11.051183351130687,-8.411781572220747,-5.772379793310806,-3.132978014400864,-0.49357623549092483,-11.051183351130687,-8.944133685756436,-6.837084020382185,-4.730034355007932,-2.6229846896336824,4,1.0,4
