date,spot_today,spot_next,return_1d,return_5d,realized_vol_20d,sigma_next,strike,T,dte_next,T_next,call_price,call_price_next,delta,gamma,theta,vega,option_pnl,option_pnl_contract,cost_per_share,total_pnl_0,total_pnl_25,total_pnl_50,total_pnl_75,total_pnl_100,target_hedge_ratio_bucket
2005-03-28,51.9004,51.1523,0.0004954245518529,-0.0132628617057682,0.0956185448154784,0.1045097848788126,52.0,0.0821917808219178,29,0.07945205479452055,0.5817638902834936,0.3110312627663383,0.5134483614008089,0.280243909673381,-4.2328882359146816,5.932641610189769,-0.2707326275171553,-27.073262751715532,0.01,-27.073262751715532,-26.97851869282805,-26.883774633940565,-26.78903057505308,-26.694286516165594,1.0
2005-03-29,51.1523,51.9094,-0.0144141470971321,-0.0286953962421792,0.1045097848788126,0.1159865662706968,51.0,0.0821917808219178,29,0.07945205479452055,0.758744817171678,1.3080185818691916,0.5780068379465192,0.2553076536691394,-4.512424320736639,5.738250595672173,0.5492737646975137,54.927376469751366,0.01,54.927376469751366,54.81652920840417,54.70568194705698,54.594834685709785,54.48398742436259,0.0
2005-03-30,51.9094,51.9004,0.014800898493323,-0.0074570645169925,0.1159865662706968,0.1161674492785596,52.0,0.0821917808219178,29,0.07945205479452055,0.7072299793132402,0.689960624242552,0.5152903892471045,0.2309526916134041,-4.967247207416864,5.9326827898174,-0.017269355070688164,-1.7269355070688164,0.01,-1.7269355070688164,-1.727064329666128,-1.7271931522634398,-1.7273219748607516,-1.7274507974580633,0.0
2005-03-31,51.9004,51.6782,-0.0001733790026469,-0.0003274432078648,0.1161674492785596,0.1159915540397413,52.0,0.0821917808219178,29,0.07945205479452055,0.7036748559021078,0.5809303698227808,0.5132115333108097,0.2306760363962576,-4.970560206879836,5.93275937548423,-0.12274448607932698,-12.274448607932698,0.01,-12.274448607932698,-12.24722273609056,-12.21999686424842,-12.192770992406283,-12.165545120564143,1.0
2005-04-01,51.6782,51.8747,-0.0042812772155899,-0.0037879737135829,0.1159915540397413,0.1053777534141859,52.0,0.0821917808219178,29,0.07945205479452055,0.5943073037112896,0.6139409954416735,0.4618000440320879,0.2310814415958436,-4.84959693684085,5.8834840754313324,0.019633691730383873,1.9633691730383873,0.01,1.9633691730383873,1.9395287457652308,1.915688318492074,1.8918478912189176,1.868007463945761,0.0
2005-04-04,51.8747,51.97,0.0038023770177753,-0.0004951792279057,0.1053777534141859,0.1065506215248297,52.0,0.0821917808219178,29,0.07945205479452055,0.6265553148320144,0.6701276013149098,0.5067287953971357,0.2545244788029378,-4.572640502249216,5.932231338050255,0.04357228648289535,4.357228648289535,0.01,4.357228648289535,4.343889012750705,4.330549377211875,4.317209741673046,4.303870106134216,0.0
2005-04-05,51.97,52.1188,0.0018371190580379,0.0159855959556072,0.1065506215248297,0.104637817727009,52.0,0.0821917808219178,29,0.07945205479452055,0.6829515885203072,0.7407488495382601,0.5307285825681969,0.2505510952428968,-4.648318961726256,5.9263339007411355,0.057797261017952906,5.779726101795291,0.01,5.779726101795291,5.758656177067333,5.7375862523393755,5.7165163276114175,5.6954464028834595,0.0
2005-04-06,52.1188,52.3331,0.0028631903020974,0.004033951461585,0.104637817727009,0.0999137547733115,52.0,0.0821917808219178,29,0.07945205479452055,0.7534516294186702,0.8419923109674414,0.5687783676728349,0.2513586739213652,-4.604638188356982,5.872185361520101,0.08854068154877126,8.854068154877126,0.01,8.854068154877126,8.822173907909871,8.790279660942618,8.758385413975361,8.726491167008108,0.0
2005-04-07,52.3331,51.5363,0.0041117600558724,0.0083371226426001,0.0999137547733115,0.1116143318696596,52.0,0.0821917808219178,29,0.07945205479452055,0.8541568570632734,0.4931073856661925,0.6267740911672425,0.252577268036369,-4.411177018312293,5.680686918532695,-0.3610494713970809,-36.10494713970809,0.01,-36.10494713970809,-35.98166067597549,-35.85837421224289,-35.735087748510296,-35.6118012847777,1.0
2005-04-08,51.5363,51.2784,-0.0152255455916046,-0.0027458386708515,0.1116143318696596,0.112232888983334,52.0,0.0821917808219178,29,0.07945205479452055,0.5057250641564472,0.39521323064514036,0.4258816908285515,0.2377277545660431,-4.57620992325608,5.792348900604058,-0.11051183351130689,-11.051183351130689,0.01,-11.051183351130689,-11.02478933334159,-10.998395315552491,-10.972001297763391,-10.945607279974292,1.0
