Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d
1999-03-10,43.3466,43.3734,42.6342,43.2932,12341014,,,
1999-03-11,43.6069,43.8567,42.6525,43.4977,22856485,0.004723605554683097,,
1999-03-12,43.3457,43.3724,42.1014,42.4471,20624340,-0.024153001193166546,,
1999-03-15,42.7595,43.7109,42.3081,43.6631,15025284,0.028647422320959626,,
1999-03-16,43.8498,44.22,43.3724,44.0379,11571731,0.008583907235171218,,
1999-03-17,44.034,44.0889,43.5828,43.7139,9353358,-0.007357299053769584,0.009717461402714678,
1999-03-18,43.6658,44.592,43.6542,44.5647,11437095,0.019462916829658283,0.024530032622414488,
1999-03-19,45.15,45.15,43.3975,43.4281,16890299,-0.025504491222873793,0.023111119487550402,
1999-03-22,43.6049,43.7099,42.8094,42.8898,11854402,-0.012395200342635304,-0.017710606896899184,
1999-03-23,42.6555,42.8123,41.3066,41.3851,25859941,-0.03508293347136149,-0.06023902138839499,
1999-03-24,41.7609,42.8163,41.1225,42.7917,19924389,0.03398807783477631,-0.02109626457488356,
1999-03-25,43.4508,44.3473,43.1677,44.3473,19188203,0.03635284412631412,-0.004878300538318503,
1999-03-26,43.981,44.4835,43.6894,43.8725,19476352,-0.010706401517115882,0.010233005818813146,
1999-03-29,44.4041,45.4905,44.1388,45.4663,12063370,0.03632799589720204,0.06007255804410372,
1999-03-30,45.4092,45.7804,44.9541,45.1441,11655731,-0.007086567413666756,0.09082979139835357,
1999-03-31,45.8872,45.9359,44.3453,44.4805,19478627,-0.014699595295952328,0.03946559730041099,
1999-04-01,45.7852,45.8372,44.6693,45.4152,20559741,0.021013702633738474,0.024080383698669383,
1999-04-05,46.1475,47.1234,45.8656,47.0561,13439528,0.03613107505857083,0.07256481850817709,
1999-04-06,46.9952,47.661,46.6017,47.146,17746607,0.0019104855693523604,0.0369438463213414,
1999-04-07,47.5815,47.6863,45.6453,46.6537,28129515,-0.01044203113731812,0.03343958568229288,
1999-04-08,46.5735,47.2537,45.6179,47.0285,18760023,0.00803366078145995,0.057283528737311906,0.3583958633762477
1999-04-09,46.9433,47.4183,46.8112,47.3124,11670292,0.006036764940408279,0.04177456005918723,0.3584425100478169
1999-04-12,46.2062,47.3184,46.1524,47.0,25792156,-0.0066029201646924385,-0.0011921939982276752,0.3450284921287417
1999-04-13,47.2935,47.3996,45.9948,46.3679,23498914,-0.01344893617021281,-0.016504051245068596,0.33961174502426233
1999-04-14,46.9512,47.001,44.5235,44.7798,50133780,-0.03424998759917952,-0.04016616045458343,0.363821140284962
1999-04-15,44.9308,45.4593,43.3428,45.3877,41637333,0.013575317442239498,-0.034889481909905706,0.36496524244964895
1999-04-16,45.2762,45.2762,43.8186,44.0644,40748337,-0.029155476043069006,-0.06865007904904419,0.3750067397145825
1999-04-19,44.3463,44.7203,41.5476,41.9901,45910253,-0.04707428218698084,-0.10659361702127668,0.4011400344039165
1999-04-20,41.8051,43.2892,41.4123,42.9446,41079186,0.02273154862693838,-0.0738290929716463,0.4076706401536785
1999-04-21,43.3389,45.0884,42.7585,45.0608,25810208,0.04927744116838895,0.006275150849266886,0.4201343525638853
1999-04-22,45.4895,46.4176,45.1899,46.2895,32154802,0.027267602883215503,0.019868819085346878,0.41453851000400854
1999-04-23,46.0428,47.2428,45.57,46.8925,16664606,0.01302671232136876,0.06418106226341447,0.39854742714330316
1999-04-26,47.2106,48.3265,47.0638,47.9763,12787952,0.023112438023138004,0.14256217536990867,0.40108761955962163
1999-04-27,48.3275,48.5654,46.6419,47.2438,38881582,-0.015267955219556373,0.10011037476190254,0.3888983197356232
1999-04-28,46.8465,47.002,45.4242,45.6229,18107883,-0.03430926386107802,0.012474257003870282,0.4090093642237979
1999-04-29,45.4102,45.6708,44.2962,45.2479,45172700,-0.0082195564069798,-0.022501863273528433,0.4063816559995605
1999-04-30,45.8909,46.127,43.9253,45.5453,36081244,0.006572680721094182,-0.028729540971370704,0.4002139378381318
1999-05-03,45.4132,45.5934,44.546,45.3029,26207659,-0.005322173747894898,-0.05572334673578416,0.3776009735550319
1999-05-04,45.3858,46.0984,44.3218,44.59,36397048,-0.01573629944219901,-0.05617245014160577,0.38059184367105403
1999-05-05,44.6154,45.9379,43.2625,45.9379,29824579,0.030228750840995744,0.006904427381863032,0.39640161939530716
1999-05-06,45.5199,45.9195,43.8488,44.275,35791201,-0.036198868472437806,-0.02150155034819301,0.414489464590879
1999-05-07,44.6693,45.0412,43.7149,44.9101,38757722,0.014344438170525109,-0.013946554309665293,0.41784421802054855
1999-05-10,45.1937,45.6599,44.6664,45.3605,25015798,0.010028924451292776,0.0012714417840800074,0.4197244957172336
1999-05-11,45.7226,46.3118,45.4643,46.0702,20762317,0.01564577110040677,0.03319578380802857,0.42138703092351215
1999-05-12,46.2895,47.1861,44.9298,47.0285,29505448,0.02080086476724663,0.023740745658813456,0.4070836928982353
1999-05-13,47.3966,47.4799,45.9409,46.1515,23268490,-0.01864826647671103,0.04238283455674763,0.4117782374886134
1999-05-14,45.2489,45.7834,44.9298,45.2742,28793004,-0.01900913296425899,0.008107307710292444,0.40336147726287813
1999-05-17,44.878,46.2297,44.4354,46.0887,23371062,0.017990378626237424,0.016053614929288695,0.36321517451868574
1999-05-18,46.0478,46.3178,45.3675,45.8959,21860289,-0.0041832379737333225,-0.0037833567034656346,0.3582362635514487
1999-05-19,46.0772,46.5508,45.3655,46.5253,18836626,0.013713643266610065,-0.010699894744676142,0.3180412345625908
1999-05-20,46.6193,46.6193,45.1687,45.2381,14148193,-0.027666667383122734,-0.01979133939308575,0.31945398543642983
1999-05-21,45.3897,45.518,44.5929,44.8307,25850184,-0.009005683262559683,-0.009795866078252113,0.31622123132619584
1999-05-24,44.9071,44.9835,43.3938,43.6884,22575675,-0.025480307021750637,-0.05208001093543535,0.3119379870398075
1999-05-25,43.6386,44.269,42.0722,42.2562,41923815,-0.03278215727744671,-0.07930338004048287,0.32585186334542615
1999-05-26,42.8104,43.6079,41.4839,43.438,63156592,0.027967493527577103,-0.06635744422926881,0.32745502640688295
1999-05-27,43.2595,44.0263,42.7074,43.3918,55050931,-0.001063584879598456,-0.04081294307232175,0.3267085527113755
1999-05-28,43.6688,44.3531,43.1147,44.1171,30593098,0.016715139726860784,-0.015917663565369278,0.33213174663911166
1999-06-01,44.034,44.2414,42.8936,43.1355,16418908,-0.02224987589846117,-0.012655533276567765,0.3401334652968905
1999-06-02,43.1147,44.0927,42.031,43.8637,28297503,0.01688168677771218,0.03804175481941119,0.34265101403957565
1999-06-03,44.1926,44.1926,42.9727,43.2402,26296602,-0.01421448714996687,-0.004553616649016989,0.3255065202278504
1999-06-04,43.5572,44.7154,43.5572,44.5647,30636051,0.03063121817197878,0.02703045275835514,0.3210265138150283
1999-06-07,44.877,45.7766,44.7769,45.4925,27108157,0.020819168534736976,0.031176119917220246,0.3255156835073425
1999-06-08,45.5914,45.8078,44.121,44.3473,19190563,-0.025173380227510034,0.028092870141762427,0.3361519742877757
1999-06-09,44.5088,45.2136,44.4815,45.0904,19779589,0.016756375247196642,0.027966177043888152,0.3368999736234221
1999-06-10,44.6184,44.8808,44.0446,44.5811,22155672,-0.011295087202597531,0.031010494863575877,0.32869387418224905
1999-06-11,44.8798,44.9239,43.5005,43.901,39081704,-0.015255343632166851,-0.014892953391361319,0.32669278601593005
1999-06-14,44.0604,44.0604,42.9678,43.0729,33350764,-0.018862896061593304,-0.05318678903115903,0.32659395340645375
1999-06-15,43.1823,43.9733,43.0539,43.7139,21579481,0.014881746991728173,-0.014282718451856025,0.3242116829801639
