spot_today,spot_next,return_1d,return_5d,realized_vol_20d,sigma_next,strike,T,dte_today,dte_next,T_next,call_price,call_price_next,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega,option_pnl,option_pnl_contract,target_hedge_ratio_bucket,target_class
85.1702,84.6089,0.0030467015657478,-0.011272190310792,0.0892349159665193,0.0895878382939334,85.0,0.0821917808219178,30,29,0.07945205479452055,1.0702407791362276,0.7622475240410154,0.5743129815684939,0.179907905235191,-6.631276433462366,9.57169365144895,57.43129815684939,17.990790523519102,-663.1276433462366,957.169365144895,-0.30799325509521225,-30.799325509521225,1.0,4
84.6089,85.6308,-0.0065903332386209,-0.0127166456433994,0.0895878382939334,0.0996289506246859,85.0,0.0821917808219178,30,29,0.07945205479452055,0.7799909852181273,1.4285132448871778,0.4718129159089035,0.1831238640561987,-6.434907101853861,9.65282625128701,47.18129159089035,18.312386405619872,-643.4907101853861,965.282625128701,0.6485222596690505,64.85222596690505,1.0,4
85.6308,85.358,0.0120779256082987,0.0075705339850378,0.0996289506246859,0.0998450597066169,86.0,0.0821917808219178,30,29,0.07945205479452055,0.8999311421242382,0.7579548084378658,0.4800547793171567,0.1629060057780817,-7.134636084318174,9.7816257978778,48.00547793171567,16.29060057780817,-713.4636084318174,978.1625797877799,-0.1419763336863724,-14.197633368637241,1.0,4
85.358,84.5929,-0.003185769606263,0.0055426299514063,0.0998450597066169,0.1025687079676262,85.0,0.0821917808219178,30,29,0.07945205479452055,1.2813899431904616,0.8778788434112457,0.597654864641294,0.1583605110223828,-7.243197704543782,9.468699353447573,59.7654864641294,15.83605110223828,-724.3197704543782,946.8699353447572,-0.40351109977921595,-40.351109977921595,1.0,4
84.5929,84.7307,-0.0089634246350664,-0.0037521419360158,0.1025687079676262,0.089962302778506,85.0,0.0821917808219178,30,29,0.07945205479452055,0.8977391379861501,0.8244262367846744,0.4742025932321992,0.1600434126523892,-7.200776548337621,9.654925027986394,47.42025932321992,16.00434126523892,-720.077654833762,965.4925027986394,-0.07331290120147571,-7.331290120147571,0.0,0
84.7307,85.0334,0.0016289783185112,-0.0051602555823515,0.089962302778506,0.0924789215802579,85.0,0.0821917808219178,30,29,0.07945205479452055,0.8424454468702152,1.005924061174305,0.4942010278936057,0.1825360415146975,-6.533943204031408,9.68989722339355,49.42010278936057,18.253604151469748,-653.3943204031408,968.9897223393549,0.16347861430408983,16.347861430408983,1.0,4
85.0334,85.383,0.0035724949752569,0.0050172026819872,0.0924789215802579,0.0951455328662294,85.0,0.0821917808219178,30,29,0.07945205479452055,1.024677940494236,1.232836208004798,0.5481847316057117,0.1756630025800381,-6.799119032287551,9.654516686916804,54.818473160571166,17.56630025800381,-679.9119032287551,965.4516686916803,0.208158267510562,20.8158267510562,1.0,4
85.383,85.7837,0.0041113256673259,-0.0028938185792961,0.0951455328662294,0.0921467967430187,85.0,0.0821917808219178,30,29,0.07945205479452055,1.252048677340163,1.4629119575031027,0.605977719709755,0.165211586324139,-6.966321586665693,9.418898443367562,60.5977719709755,16.521158632413897,-696.6321586665692,941.8898443367561,0.21086328016293976,21.086328016293976,0.75,3
85.7837,84.9934,0.0046929716688333,0.0049872302537545,0.0921467967430187,0.094050921615835,86.0,0.0821917808219178,30,29,0.07945205479452055,0.9018310594970202,0.558248254202077,0.50447617809675,0.1760287138593853,-6.770724461410833,9.81073843519063,50.447617809675,17.602871385938528,-677.0724461410832,981.0738435190631,-0.3435828052949432,-34.35828052949432,0.75,3
84.9934,84.9375,-0.0092127059103302,0.0047344398879811,0.094050921615835,0.0929256365006678,85.0,0.0821917808219178,30,29,0.07945205479452055,1.018092206339432,0.9584890472353322,0.5406413404056095,0.1731754064111582,-6.880884528725492,9.67048079587806,54.06413404056095,17.31754064111582,-688.0884528725492,967.048079587806,-0.059603159104099745,-5.9603159104099745,0.0,0
84.9375,85.358,-0.0006576981271486,0.0024406738053621,0.0929256365006678,0.0945831766142216,85.0,0.0821917808219178,30,29,0.07945205479452055,0.9772426974713396,1.212510192573383,0.5311914441651111,0.1757643247064198,-6.799056595230377,9.684865925454773,53.11914441651111,17.576432470641983,-679.9056595230377,968.4865925454773,0.23526749510204337,23.526749510204336,1.0,4
85.358,84.5339,0.0049506990434142,0.0038173235458067,0.0945831766142216,0.0981178542041308,85.0,0.0821917808219178,30,29,0.07945205479452055,1.231641632545326,0.8081736804921249,0.6023706276247478,0.1666542324452715,-6.9368504716141635,9.439458800173323,60.23706276247478,16.66542324452715,-693.6850471614164,943.9458800173323,-0.4234679520532012,-42.34679520532012,0.75,3
84.5339,83.2482,-0.0096546310832025,-0.0099446025555437,0.0981178542041308,0.103942037366011,85.0,0.0821917808219178,30,29,0.07945205479452055,0.8271850535797611,0.3956737978275484,0.4626526195607381,0.1670353047296922,-6.894089747256079,9.626014627812731,46.265261956073815,16.70353047296922,-689.4089747256079,962.6014627812731,-0.4315112557522127,-43.15112557522127,0.75,3
83.2482,81.8586,-0.0152092829030721,-0.0295568971727728,0.103942037366011,0.1162859101719534,83.0,0.0821917808219178,30,29,0.07945205479452055,1.2297146351207855,0.6698124207663945,0.5784170502902706,0.1576993954282165,-7.311481389090681,9.336827768086176,57.841705029027054,15.769939542821652,-731.1481389090682,933.6827768086175,-0.559902214354391,-55.9902214354391,0.75,3
81.8586,81.7418,-0.016692252805466,-0.0368828638458985,0.1162859101719534,0.1163577116117554,82.0,0.0821917808219178,30,29,0.07945205479452055,1.1188049835935416,1.0387209270919229,0.5154998379967847,0.1460752074831392,-7.850417892637601,9.355362586095746,51.549983799678465,14.60752074831392,-785.0417892637602,935.5362586095746,-0.08008405650161876,-8.008405650161876,1.0,4
81.7418,82.3121,-0.0014268506913139,-0.0376241353936718,0.1163577116117554,0.1207076620194151,82.0,0.0821917808219178,30,29,0.07945205479452055,1.06026314554596,1.385775456236047,0.4984262642539397,0.1463029635014752,-7.808080500073934,9.348998255611422,49.84262642539397,14.630296350147521,-780.8080500073934,934.8998255611422,0.325512310690087,32.5512310690087,1.0,4
82.3121,81.4151,0.0069768466072437,-0.0356838257691136,0.1207076620194151,0.122842918470166,82.0,0.0821917808219178,30,29,0.07945205479452055,1.4083030847872422,0.9431460810877184,0.5786069740123059,0.1373269638850318,-8.164873970464399,9.2309502553047,57.86069740123059,13.732696388503179,-816.4873970464398,923.09502553047,-0.46515700369952384,-46.515700369952384,1.0,4
81.4151,83.0224,-0.0108975472621887,-0.0368940744482392,0.122842918470166,0.1453458878720865,81.0,0.0821917808219178,30,29,0.07945205479452055,1.473061552680285,2.727846412688649,0.5920280552626269,0.1354178284333112,-8.174418147391844,9.06283936661365,59.20280552626269,13.541782843331122,-817.4418147391843,906.283936661365,1.254784860008364,125.4784860008364,1.0,4
83.0224,82.7816,0.0197420380248873,-0.0027123709581707,0.1453458878720865,0.1453920302207861,83.0,0.0821917808219178,30,29,0.07945205479452055,1.4945235095851714,1.343134655552383,0.5344594573742154,0.1148877332789232,-9.650822602705198,9.460092173305886,53.44594573742154,11.48877332789232,-965.0822602705198,946.0092173305886,-0.15138885403278834,-15.138885403278834,1.0,4
82.7816,83.2482,-0.0029004220547708,0.01127554099386,0.1453920302207861,0.1466871620993753,83.0,0.0821917808219178,30,29,0.07945205479452055,1.369601927890109,1.603841729102264,0.5066962879540599,0.1156006480664979,-9.590227578769989,9.46666246070976,50.669628795405984,11.560064806649791,-959.0227578769989,946.666246070976,0.23423980121215493,23.423980121215493,1.0,4
83.2482,82.523,0.0056365182600963,0.0184287598266736,0.1466871620993753,0.1479280074516035,83.0,0.0821917808219178,30,29,0.07945205479452055,1.6307497740788577,1.2397777814429034,0.559878758593588,0.1126678195861846,-9.749818839065036,9.413911047446966,55.9878758593588,11.266781958618461,-974.9818839065035,941.3911047446966,-0.3909719926359543,-39.09719926359543,1.0,4
82.523,82.8396,-0.0087112994635319,0.0025621992392368,0.1479280074516035,0.1408347202628506,83.0,0.0821917808219178,30,29,0.07945205479452055,1.266335642890354,1.3302323547254886,0.4774494101369063,0.113808812125321,-9.624043704580906,9.423336584166147,47.74494101369063,11.380881212532099,-962.4043704580906,942.3336584166148,0.06389671183513457,6.389671183513457,0.5,2
82.8396,81.7288,0.0038365061861542,0.0174967542875954,0.1408347202628506,0.1468891473417143,83.0,0.0821917808219178,30,29,0.07945205479452055,1.356030032864325,0.8888832532543276,0.5133015191534347,0.1192083434220043,-9.347794996716177,9.469362995473013,51.33015191534347,11.92083434220043,-934.7794996716177,946.9362995473012,-0.4671467796099975,-46.71467796099975,0.75,3
