Date,Open,High,Low,Close,Volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,call_price,delta,gamma,theta,vega,hedge_0,hedge_25,hedge_50,hedge_75,hedge_100,spot_next,sigma_next,call_price_next,option_pnl,option_pnl_contract,total_pnl_0,total_pnl_25,total_pnl_50,total_pnl_75,total_pnl_100,best_hedge_idx,target_hedge_ratio
2005-03-28,85.0414,85.5459,85.0114,85.1702,6104776.5027857,0.0030467015657478,-0.011272190310792,0.0892349159665193,85.1702,85.0,30,0.0821917808219178,0.0892349159665193,0.03,call,1.0702407791362276,0.5743129815684939,0.179907905235191,-6.631276433462366,9.57169365144895,-0.0,-0.1435782453921234,-0.2871564907842469,-0.4307347361763703,-0.5743129815684939,84.6089,0.0895878382939334,0.7622475240410154,-0.30799325509521225,-30.799325509521225,-30.799325509521225,-30.720170822836547,-30.641016136151872,-30.561861449467195,-30.48270676278252,4,1.0
2005-03-29,85.0474,85.4769,84.436,84.6089,9407620.0880784,-0.0065903332386209,-0.0127166456433994,0.0895878382939334,84.6089,85.0,30,0.0821917808219178,0.0895878382939334,0.03,call,0.7799909852181273,0.4718129159089035,0.1831238640561987,-6.434907101853861,9.65282625128701,-0.0,-0.1179532289772258,-0.2359064579544517,-0.3538596869316776,-0.4718129159089035,85.6308,0.0996289506246859,1.4285132448871778,0.6485222596690505,64.85222596690505,64.85222596690505,64.73051002992347,64.60879409294185,64.48707815596026,64.36536221897866,0,0.0
2005-03-30,84.7537,85.6737,84.6977,85.6308,6947393.8511266,0.0120779256082987,0.0075705339850378,0.0996289506246859,85.6308,86.0,30,0.0821917808219178,0.0996289506246859,0.03,call,0.8999311421242382,0.4800547793171567,0.1629060057780817,-7.134636084318174,9.7816257978778,-0.0,-0.1200136948292891,-0.2400273896585783,-0.3600410844878675,-0.4800547793171567,85.358,0.0998450597066169,0.7579548084378658,-0.1419763336863724,-14.197633368637241,-14.197633368637241,-14.166093769636106,-14.134554170634969,-14.103014571633834,-14.071474972632698,4,1.0
2005-03-31,85.5009,85.6168,85.2042,85.358,9074245.8856873,-0.003185769606263,0.0055426299514063,0.0998450597066169,85.358,85.0,30,0.0821917808219178,0.0998450597066169,0.03,call,1.2813899431904616,0.597654864641294,0.1583605110223828,-7.243197704543782,9.468699353447573,-0.0,-0.1494137161603235,-0.298827432320647,-0.4482411484809705,-0.597654864641294,84.5929,0.1025687079676262,0.8778788434112457,-0.40351109977921595,-40.351109977921595,-40.351109977921595,-40.238287680848934,-40.12546538377627,-40.01264308670361,-39.89982078963096,4,1.0
2005-04-01,85.7067,85.8615,84.3391,84.5929,9512189.4856022,-0.0089634246350664,-0.0037521419360158,0.1025687079676262,84.5929,85.0,30,0.0821917808219178,0.1025687079676262,0.03,call,0.8977391379861501,0.4742025932321992,0.1600434126523892,-7.200776548337621,9.654925027986394,-0.0,-0.1185506483080498,-0.2371012966160996,-0.3556519449241494,-0.4742025932321992,84.7307,0.089962302778506,0.8244262367846744,-0.07331290120147571,-7.331290120147571,-7.331290120147571,-7.348811905967501,-7.36633369178743,-7.3838554776073595,-7.40137726342729,0,0.0
2005-04-04,84.6169,85.2202,84.1104,84.7307,14189362.426858,0.0016289783185112,-0.0051602555823515,0.089962302778506,84.7307,85.0,30,0.0821917808219178,0.089962302778506,0.03,call,0.8424454468702152,0.4942010278936057,0.1825360415146975,-6.533943204031408,9.68989722339355,-0.0,-0.1235502569734014,-0.2471005139468028,-0.3706507709202042,-0.4942010278936057,85.0334,0.0924789215802579,1.005924061174305,0.16347861430408983,16.347861430408983,16.347861430408983,16.3092272650534,16.270593099697816,16.231958934342234,16.193324768986653,0,0.0
2005-04-05,84.7887,85.1044,84.6737,85.0334,5400121.5287355,0.0035724949752569,0.0050172026819872,0.0924789215802579,85.0334,85.0,30,0.0821917808219178,0.0924789215802579,0.03,call,1.024677940494236,0.5481847316057117,0.1756630025800381,-6.799119032287551,9.654516686916804,-0.0,-0.1370461829014279,-0.2740923658028558,-0.4111385487042838,-0.5481847316057117,85.383,0.0951455328662294,1.232836208004798,0.208158267510562,20.8158267510562,20.8158267510562,20.766544943684845,20.717263136313495,20.66798132894214,20.618699521570786,0,0.0
2005-04-06,85.2042,85.5549,85.1382,85.383,5569376.7429409,0.0041113256673259,-0.0028938185792961,0.0951455328662294,85.383,85.0,30,0.0821917808219178,0.0951455328662294,0.03,call,1.252048677340163,0.605977719709755,0.165211586324139,-6.966321586665693,9.418898443367562,-0.0,-0.1514944299274387,-0.3029888598548775,-0.4544832897823162,-0.605977719709755,85.7837,0.0921467967430187,1.4629119575031027,0.21086328016293976,21.086328016293976,21.086328016293976,21.024109253922777,20.96189049155158,20.899671729180376,20.837452966809177,0,0.0
2005-04-07,85.2132,85.8305,85.1622,85.7837,4729212.8909894,0.0046929716688333,0.0049872302537545,0.0921467967430187,85.7837,86.0,30,0.0821917808219178,0.0921467967430187,0.03,call,0.9018310594970202,0.50447617809675,0.1760287138593853,-6.770724461410833,9.81073843519063,-0.0,-0.1261190445241875,-0.252238089048375,-0.3783571335725625,-0.50447617809675,84.9934,0.094050921615835,0.558248254202077,-0.3435828052949432,-34.35828052949432,-34.35828052949432,-34.2598698390521,-34.16145914860987,-34.06304845816765,-33.96463776772543,4,1.0
2005-04-08,85.7247,85.7987,84.9774,84.9934,4484954.3622299,-0.0092127059103302,0.0047344398879811,0.094050921615835,84.9934,85.0,30,0.0821917808219178,0.094050921615835,0.03,call,1.018092206339432,0.5406413404056095,0.1731754064111582,-6.880884528725492,9.67048079587806,-0.0,-0.1351603351014023,-0.2703206702028047,-0.4054810053042071,-0.5406413404056095,84.9375,0.0929256365006678,0.9584890472353322,-0.059603159104099745,-5.9603159104099745,-5.9603159104099745,-5.9541120510288215,-5.9479081916476675,-5.941704332266514,-5.9355004728853595,4,1.0
